Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Agg Entropy (bits)	Delta Time (s)	IQR BW (Hz)	Peak Freq Contour (Hz)	Center Freq (Hz)	Max Freq (Hz)	Unit Type	Contour	Description (Stimpert)	Description (Dunlop & Fournet)
30	Spectrogram 1	1	47.154113314	49.352174352	1243.4	9572.1	1343.8	2.022	2.198	31.2	1437.5;1406.2;1406.2;1406.2;1406.2;1375.0;1375.0;1375.0;1375.0;1375.0;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1375.0;1375.0;1375.0;1375.0;1375.0;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1312.5;1343.8;1343.8;1343.8;1343.8;1343.8;1375.0;1375.0;1375.0;1375.0;1375.0;4062.5;4062.5;4062.5;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1312.5;1343.8;1312.5;1343.8;1343.8;1343.8;1375.0;1375.0;1375.0;1343.8;1343.8;1343.8;1343.8;1343.8;1375.0;1375.0;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1375.0;1343.8;1375.0;1343.8;1343.8;1343.8;1343.8;1343.8;1375.0;1343.8;1437.5;1343.8;1343.8;1375.0;1343.8;1375.0;1343.8;1343.8;1250.0;1343.8;1531.2;1343.8;1281.2;1437.5;1343.8;1343.8;1375.0;1375.0;1343.8;1375.0;4062.5;1375.0;1375.0	1375.0	1343.8	D	1	tone	modulated cry
31	Spectrogram 1	1	50.105136765	52.141511406	1228.5	9825.2	1375.0	2.821	2.036	62.5	1531.2;1375.0;1375.0;1343.8;1531.2;1562.5;1531.2;1531.2;1531.2;1562.5;1593.8;1562.5;1593.8;1562.5;1562.5;1500.0;1437.5;1437.5;1437.5;1406.2;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1312.5;1312.5;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1312.5;2656.2;2656.2;2656.2;2656.2;1343.8;2656.2;1343.8;1312.5;1343.8;2656.2;2656.2;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;2656.2;1343.8;1343.8;1343.8;1375.0;1343.8;2656.2;2656.2;2625.0;2656.2;1312.5;1312.5;1312.5;1343.8;1312.5;1343.8;1343.8;1343.8;1343.8;1312.5;1343.8;1343.8;1343.8;1343.8;1312.5;1343.8;1312.5;1343.8;1312.5;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1312.5;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1312.5;1312.5;1343.8;1343.8;1312.5;1343.8;1312.5;1343.8;2656.2;1343.8;1312.5;1375.0;1343.8;1312.5;1343.8;1375.0;1468.8;1375.0	1375.0	1375.0	D	1	tone	modulated cry
32	Spectrogram 1	1	52.649089692	53.378863436	374.5	3745.3	656.2	4.519	0.730	437.5	1343.8;750.0;406.2;500.0;500.0;500.0;1000.0;1000.0;531.2;593.8;625.0;656.2;718.8;781.2;781.2;781.2;781.2;781.2;781.2;812.5;812.5;812.5;937.5;1000.0;968.8;531.2;468.8;1000.0;500.0;531.2;531.2;593.8;656.2;656.2;750.0;656.2;656.2;781.2;781.2;781.2;781.2;656.2;812.5;812.5;843.8;718.8	656.2	656.2	E	1	upsweep/ short grunt	bark (D)
33	Spectrogram 1	1	55.364138400	57.365553819	419.5	3131.1	687.5	4.080	2.001	187.5	500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;531.2;531.2;531.2;531.2;531.2;562.5;1093.8;1093.8;1093.8;1093.8;1093.8;1093.8;1125.0;1125.0;1125.0;1156.2;1156.2;1156.2;1156.2;1156.2;1156.2;1156.2;1187.5;593.8;625.0;625.0;625.0;625.0;625.0;625.0;625.0;625.0;625.0;625.0;656.2;656.2;656.2;687.5;687.5;687.5;687.5;687.5;750.0;750.0;750.0;750.0;781.2;781.2;843.8;625.0;625.0;625.0;625.0;625.0;625.0;656.2;656.2;656.2;656.2;687.5;687.5;687.5;687.5;687.5;687.5;531.2;750.0;781.2;781.2;562.5;531.2;562.5;437.5;531.2;593.8;562.5;531.2;593.8;593.8;593.8;593.8;656.2;625.0;625.0;593.8;625.0;625.0;625.0;625.0;625.0;625.0;625.0;656.2;531.2;687.5;656.2;656.2;593.8;687.5;656.2;687.5;687.5;656.2;687.5;750.0;625.0;687.5;656.2	656.2	687.5	F	1	upsweep/ moan	ascending moan
34	Spectrogram 1	1	58.895434012	60.805081475	1213.5	7076.6	1375.0	2.394	1.910	31.2	1375.0;1343.8;1343.8;1343.8;1343.8;1343.8;1375.0;1375.0;1343.8;1375.0;1375.0;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1375.0;1375.0;1375.0;1375.0;1375.0;1406.2;1406.2;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1406.2;1406.2;1406.2;1406.2;1406.2;1375.0;1406.2;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1406.2;1375.0;1343.8;1312.5;1343.8;1312.5;2656.2;1343.8;1375.0;1406.2;1375.0;1406.2;1375.0;1375.0;1406.2;1375.0;1406.2;1406.2;1375.0;1281.2;1281.2;4156.2;1375.0;1406.2;1281.2;1375.0;1406.2;1375.0;1375.0;1406.2;1375.0;1406.2;1375.0;1375.0;1375.0;1375.0;1375.0;1343.8;1375.0;1375.0;1406.2;1312.5;1343.8;1343.8	1375.0	1375.0	D	1	tone	modulated cry
35	Spectrogram 1	1	61.693510870	63.629377749	1213.5	9801.7	1406.2	1.831	1.936	31.2	1343.8;1343.8;1343.8;1343.8;1375.0;1375.0;1406.2;1375.0;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1406.2;1406.2;1406.2;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;2750.0;2750.0;2750.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;2750.0;2750.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1281.2;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0	1375.0	1406.2	D	1	tone	modulated cry
36	Spectrogram 1	1	64.294272531	65.107074426	299.6	4299.6	718.8	4.478	0.813	156.2	437.5;406.2;406.2;468.8;531.2;593.8;656.2;687.5;687.5;718.8;718.8;718.8;750.0;781.2;781.2;812.5;812.5;812.5;843.8;843.8;843.8;843.8;406.2;406.2;437.5;1031.2;1031.2;1031.2;1125.0;687.5;718.8;718.8;687.5;718.8;750.0;781.2;812.5;812.5;812.5;812.5;812.5;843.8;843.8;843.8;875.0;875.0;906.2;906.2;843.8;343.8	781.2	718.8	E	1	upsweep / short grunt	bark
37	Spectrogram 1	1	67.139493425	68.712658383	328.4	3442.8	500.0	4.092	1.573	625.0	468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;500.0;500.0;500.0;500.0;500.0;500.0;500.0;500.0;531.2;500.0;531.2;500.0;531.2;562.5;1093.8;1125.0;562.5;1125.0;1125.0;1125.0;1125.0;1125.0;1125.0;1125.0;1125.0;1125.0;1125.0;1125.0;1156.2;1156.2;1156.2;1156.2;1156.2;1187.5;593.8;593.8;625.0;593.8;593.8;625.0;656.2;656.2;656.2;687.5;562.5;750.0;781.2;781.2;562.5;562.5;562.5;562.5;593.8;593.8;593.8;593.8;593.8;593.8;468.8;437.5;625.0;625.0;687.5;656.2;656.2;687.5;687.5;500.0;593.8;781.2;500.0;500.0;500.0;531.2;500.0;500.0	593.8	500.0	F	1	upsweep/ moan	ascending moan
38	Spectrogram 1	1	70.309937091	72.370680985	1165.3	8601.0	1406.2	2.045	2.061	31.2	1406.2;1281.2;2562.5;1312.5;1406.2;2656.2;1343.8;1343.8;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1437.5;1437.5;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1531.2;1406.2;1406.2;1406.2;1406.2;1437.5;1406.2;1437.5;1437.5;1468.8;1437.5;1375.0;1375.0;1406.2;1375.0;1406.2;1406.2;1406.2;1375.0;1375.0;1406.2;1531.2;1468.8;1375.0;1406.2;1218.8;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1218.8;1406.2;1406.2;1437.5;1468.8;1406.2;1406.2;1406.2;1437.5;1406.2;1406.2;1375.0	1406.2	1406.2	D	1	tone	modulated cry
39	Spectrogram 1	1	73.514414897	74.480163386	344.6	7871.2	687.5	3.973	0.966	156.2	1406.2;468.8;468.8;1406.2;468.8;500.0;1093.8;1125.0;1156.2;1156.2;593.8;625.0;625.0;625.0;656.2;656.2;656.2;687.5;687.5;781.2;812.5;812.5;812.5;812.5;843.8;843.8;843.8;843.8;843.8;562.5;593.8;593.8;875.0;843.8;843.8;843.8;656.2;656.2;656.2;687.5;687.5;781.2;812.5;812.5;812.5;812.5;812.5;843.8;843.8;843.8;875.0;875.0;875.0;875.0;875.0;843.8;843.8;843.8;843.8;468.8	687.5	687.5	E	1	upsweep	bark
40	Spectrogram 1	1	76.739817323	78.173145396	329.6	5707.9	468.8	2.829	1.433	31.2	375.0;1156.2;1156.2;1187.5;1218.8;437.5;437.5;437.5;437.5;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;500.0;468.8;468.8;468.8;468.8;500.0;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;500.0;468.8;500.0;500.0;531.2;531.2;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8;468.8	468.8	468.8	G	1	upsweep/ moan	ascending moan (D)
41	Spectrogram 1	1	79.774794006	81.492165752	1213.5	7490.6	1406.2	2.733	1.717	93.8	1375.0;1375.0;1406.2;1406.2;1406.2;1406.2;1375.0;1437.5;1468.8;1468.8;1500.0;1500.0;1500.0;1500.0;1500.0;1468.8;1468.8;1468.8;1468.8;1468.8;1468.8;1468.8;1468.8;1437.5;1437.5;1437.5;1437.5;1437.5;1437.5;1437.5;1437.5;1437.5;1437.5;1437.5;1437.5;1437.5;1437.5;1437.5;1406.2;1406.2;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1406.2;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1406.2;1375.0;1375.0;1375.0;1343.8;1437.5	1437.5	1406.2	H	1	downsweep	descending moan (F)
42	Spectrogram 1	1	83.086669216	85.538184610	158.9	5448.0	656.2	4.286	2.452	187.5	250.0;187.5;187.5;250.0;281.2;312.5;312.5;343.8;375.0;375.0;468.8;468.8;500.0;562.5;531.2;562.5;562.5;562.5;562.5;562.5;562.5;562.5;562.5;593.8;593.8;593.8;625.0;625.0;625.0;656.2;656.2;687.5;781.2;812.5;812.5;812.5;812.5;812.5;562.5;968.8;968.8;968.8;968.8;968.8;968.8;937.5;593.8;593.8;625.0;625.0;656.2;687.5;656.2;625.0;718.8;687.5;812.5;812.5;812.5;812.5;843.8;968.8;937.5;343.8;593.8;406.2;968.8;312.5;375.0;375.0;531.2;562.5;562.5;562.5;562.5;562.5;562.5;562.5;562.5;562.5;562.5;562.5;562.5;562.5;562.5;656.2;656.2;593.8;593.8;562.5;593.8;656.2;812.5;812.5;656.2;687.5;281.2;656.2;812.5;625.0;187.5;218.8;250.0;218.8;187.5;343.8;406.2;375.0;406.2;468.8;562.5;625.0;687.5;687.5;718.8;781.2;781.2;781.2;781.2;781.2;750.0;750.0;750.0;781.2;781.2;781.2;812.5;843.8;406.2;406.2;468.8;406.2;406.2;656.2;625.0;687.5;718.8;781.2;781.2;250.0;781.2;781.2;781.2;750.0;750.0;750.0;781.2;750.0;781.2;843.8;625.0;812.5;187.5	625.0	656.2	E	1	upsweep, echo	bark?
43	Spectrogram 1	1	87.137983245	89.143768566	275.4	7410.4	437.5	3.014	2.006	31.2	343.8;343.8;375.0;375.0;375.0;375.0;1187.5;406.2;406.2;437.5;437.5;437.5;437.5;437.5;437.5;437.5;437.5;2125.0;2125.0;2093.8;2093.8;2125.0;437.5;437.5;437.5;437.5;437.5;437.5;406.2;437.5;437.5;437.5;437.5;437.5;437.5;437.5;437.5;437.5;437.5;406.2;406.2;406.2;406.2;437.5;406.2;375.0;437.5;406.2;437.5;437.5;437.5;437.5;437.5;437.5;437.5;437.5;437.5;437.5;437.5;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;437.5;437.5;406.2;406.2;406.2;406.2;437.5;437.5;437.5;437.5;437.5;437.5;437.5;437.5;406.2;437.5;437.5;406.2;437.5;531.2;437.5;437.5;437.5;437.5;437.5;437.5;437.5;437.5;437.5;437.5;437.5;437.5;406.2;406.2;437.5;406.2;406.2;406.2;406.2;406.2;437.5;281.2;281.2;281.2;312.5;437.5;406.2;437.5;406.2;437.5;437.5;281.2;437.5;468.8;437.5;437.5;500.0	437.5	437.5	G	1	tone, vibrato/ moan	trill (D)
44	Spectrogram 1	1	90.023458157	91.845707566	1213.2	8196.3	1343.8	2.712	1.822	31.2	1281.2;1250.0;1250.0;1250.0;1281.2;1281.2;1281.2;1281.2;1312.5;1312.5;1312.5;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1312.5;1343.8;1343.8;1343.8;1343.8;1343.8;1312.5;1343.8;1343.8;1312.5;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;2718.8;1343.8;1343.8;4000.0;4000.0;3968.8;3968.8;3968.8;4000.0;4000.0;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;2687.5;1343.8;1343.8;1343.8;1375.0;1343.8;1250.0;1343.8;1343.8;1343.8;1343.8;1312.5;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1312.5;1312.5;1437.5;1250.0;1218.8;1343.8	1343.8	1343.8	H	1	tone	modulated cry
45	Spectrogram 1	1	93.198271725	94.378145444	158.9	3955.5	468.8	4.071	1.180	187.5	250.0;187.5;250.0;250.0;250.0;281.2;281.2;281.2;312.5;312.5;312.5;312.5;343.8;343.8;343.8;343.8;375.0;375.0;375.0;375.0;375.0;375.0;406.2;375.0;437.5;468.8;468.8;468.8;468.8;500.0;500.0;593.8;625.0;625.0;656.2;656.2;343.8;343.8;375.0;343.8;375.0;375.0;375.0;375.0;406.2;812.5;437.5;468.8;468.8;468.8;468.8;468.8;468.8;500.0;625.0;625.0;656.2;656.2;750.0;781.2;781.2;781.2;812.5;812.5;812.5;781.2;812.5;812.5;812.5;812.5;812.5;843.8;843.8	468.8	468.8	E	1	upsweep	bark?
46	Spectrogram 1	1	96.485777682	98.015243614	286.0	8192.3	406.2	2.322	1.529	31.2	375.0;468.8;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;375.0;375.0;406.2;406.2;1156.2;406.2;406.2;375.0;406.2;437.5;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;406.2;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;406.2;406.2;406.2;312.5;406.2;406.2;406.2;406.2;406.2	406.2	406.2	G	1	tone, vibrato/ moan	trill
47	Spectrogram 1	1	99.283885753	101.428337290	1123.6	7056.2	1250.0	2.871	2.144	62.5	1250.0;1250.0;1250.0;1250.0;1218.8;1218.8;1218.8;1218.8;1218.8;1250.0;1250.0;1250.0;1250.0;1250.0;1281.2;1250.0;1250.0;1281.2;1281.2;1281.2;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1406.2;1406.2;1375.0;1406.2;1406.2;1406.2;1375.0;1375.0;1375.0;1375.0;1375.0;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;2812.5;1406.2;1406.2;1375.0;1406.2;1375.0;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1406.2;1375.0;1406.2;1406.2;1406.2;1375.0;1406.2;1406.2;1375.0;1406.2;1375.0;1375.0;1406.2;1375.0;1406.2;1406.2;1375.0;1406.2;1406.2;1406.2;1406.2;1406.2;1281.2	1375.0	1250.0	H	1	upsweep	ascending shriek
48	Spectrogram 1	1	102.511865708	104.279338733	59.9	6335.3	343.8	3.074	1.767	62.5	125.0;156.2;62.5;93.8;93.8;125.0;125.0;125.0;125.0;187.5;187.5;218.8;218.8;250.0;281.2;281.2;312.5;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;375.0;375.0;375.0;375.0;375.0;406.2;406.2;406.2;406.2;406.2;406.2;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;375.0;375.0;375.0;406.2;406.2;406.2;437.5;343.8;343.8;156.2;437.5;437.5;375.0;125.0;406.2;375.0;62.5;312.5;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;375.0;406.2;406.2;406.2;406.2;406.2;375.0;406.2;437.5;406.2;437.5;437.5;437.5;406.2;62.5	343.8	343.8	E	1	upsweep	gurgle?/ascending _
49	Spectrogram 1	1	106.131554162	107.806327553	254.2	6435.6	375.0	1.953	1.675	31.2	343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;437.5;437.5;437.5;437.5;437.5;437.5;437.5;437.5;437.5;375.0;375.0;375.0;375.0;375.0;375.0;375.0;406.2;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0	375.0	375.0	G	1	tone + other freq	trumpet?
50	Spectrogram 1	1	108.689727130	110.747659008	805.1	9283.7	1375.0	2.273	2.058	31.2	875.0;875.0;875.0;875.0;875.0;875.0;875.0;875.0;875.0;875.0;1156.2;1250.0;1250.0;1250.0;1250.0;1281.2;1281.2;1312.5;1312.5;1312.5;1312.5;1312.5;1312.5;1312.5;1312.5;1343.8;1343.8;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1343.8;1312.5;1312.5;1312.5;1343.8;1312.5;1312.5;1406.2;1375.0;1375.0;1375.0;4156.2;4156.2;4156.2;4156.2;4156.2;1375.0;1375.0;1375.0;1375.0;1375.0;1343.8;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1375.0;1406.2;812.5;1406.2;843.8;1375.0;1375.0;812.5	1375.0	1375.0	H	1	tone	ascending shriek
51	Spectrogram 1	1	111.850319947	114.106011045	95.3	6452.1	218.8	3.311	2.256	125.0	125.0;125.0;125.0;125.0;125.0;125.0;156.2;156.2;187.5;187.5;218.8;218.8;218.8;250.0;250.0;281.2;281.2;281.2;312.5;312.5;312.5;312.5;312.5;312.5;343.8;343.8;343.8;343.8;343.8;343.8;343.8;375.0;375.0;375.0;406.2;406.2;406.2;437.5;281.2;312.5;312.5;312.5;312.5;312.5;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;375.0;375.0;375.0;375.0;375.0;406.2;437.5;406.2;437.5;125.0;125.0;125.0;218.8;125.0;156.2;156.2;187.5;156.2;218.8;281.2;281.2;281.2;312.5;250.0;281.2;281.2;281.2;312.5;312.5;343.8;343.8;375.0;343.8;343.8;343.8;343.8;343.8;312.5;343.8;343.8;343.8;343.8;343.8;343.8;375.0;375.0;375.0;375.0;406.2;125.0;125.0;375.0;375.0;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;343.8;281.2;343.8;312.5;343.8;343.8;343.8;343.8;375.0;187.5;343.8;343.8;375.0;250.0;343.8;343.8;343.8;343.8;500.0	281.2	218.8	E	1	upsweep	gurgle?
52	Spectrogram 1	1	115.447321298	117.297324637	243.6	6619.9	375.0	2.143	1.850	31.2	375.0;343.8;375.0;343.8;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;406.2;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;406.2;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;343.8;312.5;562.5;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;375.0;343.8;406.2;250.0;375.0;375.0;375.0	375.0	375.0	G	1	tone	modulated cry
53	Spectrogram 1	1	117.839192567	119.193862392	1224.9	12114.4	1343.8	3.569	1.355	1312.5	1312.5;1281.2;1281.2;1281.2;1281.2;1281.2;1281.2;1281.2;1281.2;1281.2;2562.5;1250.0;2531.2;1406.2;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;2687.5;2687.5;1343.8;1343.8;2656.2;2656.2;1343.8;2656.2;1312.5;2656.2;2656.2;2656.2;2656.2;1312.5;2656.2;2656.2;1343.8;1343.8;2687.5;2687.5;2687.5;2687.5;2687.5;2687.5;2687.5;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;2656.2;2656.2;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1312.5;1343.8;4000.0;1343.8;1343.8;1343.8;1343.8;2656.2	1406.2	1343.8	H	1	tone	ascending shriek
