Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Agg Entropy (bits)	Delta Time (s)	IQR BW (Hz)	Peak Freq Contour (Hz)	Center Freq (Hz)	Max Freq (Hz)	Unit Type	Contour	Description (Stimpert)	Description (Dunlop & Fournet)
20	Spectrogram 1	1	14.225019882	15.645238247	678.0	12278.4	1406.2	5.148	1.420	281.2	968.8;687.5;1375.0;1437.5;1437.5;1468.8;1500.0;1531.2;1593.8;1593.8;1562.5;1593.8;1593.8;1593.8;1656.2;1656.2;1656.2;1656.2;1625.0;1593.8;1593.8;1593.8;1562.5;1562.5;1531.2;1531.2;1500.0;1500.0;1406.2;1406.2;1406.2;1375.0;1375.0;1343.8;1343.8;1312.5;1312.5;1281.2;2562.5;2500.0;2500.0;2468.8;2468.8;2437.5;2437.5;1125.0;1125.0;1125.0;1093.8;1093.8;1093.8;1062.5;1062.5;1375.0;1625.0;1625.0;1625.0;1625.0;1593.8;1625.0;1625.0;1625.0;2500.0;1625.0;1625.0;812.5;812.5;812.5;812.5;812.5;812.5;2187.5;2187.5;812.5;1625.0;1625.0;1625.0;1625.0;1593.8;1625.0;812.5;1125.0;1625.0;812.5;781.2;1625.0;812.5	1468.8	1406.2	B	1	downsweep	descending shriek
21	Spectrogram 1	1	18.217675013	19.738401139	449.4	7011.2	687.5	3.634	1.521	125.0	562.5;562.5;531.2;531.2;531.2;531.2;531.2;562.5;562.5;593.8;593.8;593.8;625.0;625.0;593.8;593.8;593.8;593.8;625.0;625.0;625.0;656.2;656.2;656.2;687.5;687.5;687.5;687.5;718.8;781.2;781.2;781.2;781.2;781.2;750.0;750.0;750.0;750.0;750.0;750.0;750.0;625.0;625.0;656.2;656.2;656.2;656.2;687.5;687.5;718.8;687.5;781.2;781.2;781.2;781.2;781.2;1000.0;1000.0;1000.0;1000.0;1031.2;1031.2;1031.2;750.0;750.0;750.0;718.8;875.0;875.0;593.8;625.0;593.8;625.0;625.0;593.8;625.0;593.8;593.8;593.8;593.8;656.2;625.0;1000.0;625.0;625.0;656.2;656.2;625.0;656.2;687.5;656.2;718.8;687.5;687.5;656.2	687.5	687.5	C	1	upsweep /moan	ascending shriek (D)
22	Spectrogram 1	1	21.749895518	23.414828433	1078.7	9886.7	1406.2	2.992	1.665	31.2	1375.0;1343.8;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1312.5;1281.2;1281.2;1281.2;2562.5;2531.2;2531.2;2531.2;2531.2;2531.2;2531.2;2531.2;2531.2;2531.2;2531.2;2531.2;2500.0;1375.0;1375.0;1187.5;1187.5;1187.5;1156.2;1312.5;1312.5;1281.2;1250.0;1281.2;1281.2;1250.0;1250.0;1250.0;1250.0;1250.0;1250.0;1250.0;1250.0;1250.0;1250.0;1250.0;1187.5;1187.5;1187.5;1187.5;1406.2;1406.2;1156.2;1375.0;1187.5;1375.0;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1406.2;1312.5;1375.0;1375.0;1375.0;1125.0;1343.8;1312.5;1312.5;1281.2;1406.2;1281.2;1250.0;1250.0;1406.2;1093.8	1406.2	1406.2	B	1	downsweep	descending shriek
23	Spectrogram 1	1	24.566377069	26.296858523	1198.5	12676.3	1375.0	3.414	1.730	93.8	1406.2;1406.2;1406.2;1375.0;1375.0;1375.0;1375.0;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1375.0;1343.8;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;2687.5;1343.8;1343.8;1343.8;1343.8;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1343.8;1312.5;1312.5;1312.5;1312.5;1312.5;1312.5;1281.2;1281.2;1281.2;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;2656.2;1343.8;1375.0;1375.0;1312.5;1312.5;1312.5;1312.5;1343.8;1375.0;1312.5;1281.2;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1343.8;1375.0;1343.8;1375.0;1343.8;1312.5;1375.0;1343.8;1343.8;1406.2;1375.0;1250.0;1312.5;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1250.0	1375.0	1375.0	B	1	tone	modulated cry (D)
24	Spectrogram 1	1	26.977382753	28.790892358	1228.5	13783.6	1375.0	2.959	1.814	62.5	1656.2;1343.8;3250.0;1593.8;1593.8;1593.8;1562.5;1531.2;1468.8;1437.5;1406.2;1406.2;1406.2;1375.0;1375.0;1375.0;1375.0;1343.8;1343.8;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;1375.0;2718.8;1343.8;2687.5;2687.5;1343.8;2656.2;1343.8;1343.8;2656.2;1343.8;2656.2;2656.2;2625.0;2656.2;1343.8;1343.8;1343.8;1343.8;1343.8;1375.0;1375.0;1375.0;1343.8;2718.8;2687.5;1468.8;1343.8;1343.8;1343.8;1343.8;1343.8;1312.5;1343.8;1312.5;1312.5;1312.5;1343.8;1343.8;1343.8;1343.8;1343.8;1375.0;1343.8;1343.8;1375.0;1343.8;1375.0;1375.0;1375.0;1375.0;1375.0;1343.8;1343.8;1375.0;1375.0;1375.0;1375.0;2718.8;1343.8;1343.8;1343.8;1343.8;1500.0;1468.8;1343.8;1312.5;1343.8;1375.0;1375.0;1375.0;1343.8;1312.5;2718.8;1343.8	1375.0	1375.0	B	1	tone	modulated cry
25	Spectrogram 1	1	30.625740655	32.316892985	449.4	7206.0	625.0	3.237	1.691	93.8	562.5;562.5;562.5;562.5;562.5;562.5;562.5;562.5;562.5;593.8;593.8;593.8;593.8;593.8;593.8;593.8;593.8;593.8;593.8;593.8;593.8;593.8;593.8;593.8;593.8;625.0;625.0;625.0;625.0;656.2;656.2;656.2;625.0;625.0;656.2;625.0;656.2;656.2;656.2;1468.8;1500.0;593.8;593.8;750.0;750.0;593.8;593.8;625.0;625.0;625.0;625.0;781.2;781.2;781.2;656.2;625.0;625.0;625.0;625.0;656.2;656.2;812.5;656.2;1031.2;1031.2;1031.2;750.0;1062.5;750.0;750.0;781.2;781.2;781.2;781.2;781.2;781.2;781.2;781.2;781.2;812.5;812.5;625.0;593.8;625.0;625.0;593.8;625.0;593.8;593.8;625.0;656.2;625.0;656.2;656.2;625.0;656.2;656.2;625.0;656.2;625.0;656.2;656.2;625.0;656.2;750.0	625.0	625.0	C	1	upsweep/ moan	ascending moan
26	Spectrogram 1	1	34.226954523	36.267699065	1258.4	9216.6	1437.5	1.990	2.041	31.2	1437.5;1437.5;1437.5;1437.5;1437.5;1437.5;1437.5;1468.8;1468.8;1468.8;1468.8;1437.5;1437.5;1437.5;1437.5;1437.5;1437.5;1437.5;1468.8;1562.5;1562.5;1562.5;1531.2;1531.2;1531.2;1531.2;1531.2;1531.2;1531.2;1531.2;1500.0;1500.0;1437.5;1437.5;1437.5;1437.5;1437.5;1437.5;1437.5;1437.5;1437.5;1437.5;1437.5;1437.5;1437.5;1437.5;1437.5;1437.5;1437.5;1437.5;1437.5;1406.2;1437.5;1406.2;1437.5;1406.2;1437.5;1437.5;1437.5;1437.5;1437.5;1406.2;1375.0;1375.0;1375.0;1343.8;1343.8;1343.8;1343.8;1437.5;1437.5;1437.5;1406.2;1437.5;1437.5;1437.5;1468.8;1437.5;1468.8;1437.5;1406.2;4281.2;1406.2;1406.2;1375.0;1375.0;1375.0;1343.8;1343.8;1437.5;1437.5;1343.8;1437.5;1437.5;1437.5;1437.5;1437.5;1531.2;1312.5;1437.5;1437.5;1437.5;1437.5;1406.2;1437.5;1406.2;1437.5;1437.5;1437.5;1437.5;1437.5;1375.0;1375.0;1406.2;1437.5;1406.2;1437.5;1406.2;1375.0;1437.5;1437.5;1437.5;1437.5;1437.5;1437.5;1437.5;1375.0	1437.5	1437.5	B	1	tone	modulated cry (D)
27	Spectrogram 1	1	37.135203842	38.612230941	1153.6	13178.5	1375.0	3.319	1.477	62.5	1343.8;1406.2;1531.2;1531.2;1531.2;1531.2;1500.0;1500.0;1500.0;1500.0;1500.0;1468.8;1468.8;1468.8;1468.8;1468.8;1468.8;1468.8;1406.2;1375.0;1375.0;1375.0;1375.0;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1343.8;1312.5;1312.5;1312.5;1312.5;1312.5;1312.5;1281.2;1281.2;1281.2;1281.2;1281.2;1281.2;1281.2;1281.2;1281.2;1281.2;1281.2;1281.2;1343.8;1343.8;2500.0;2500.0;2500.0;2500.0;2500.0;2500.0;2500.0;2500.0;1281.2;1281.2;1281.2;1281.2;2562.5;1312.5;1312.5;1312.5;1312.5;1312.5;1343.8;1343.8;1375.0;1375.0;1375.0;1406.2;1375.0;2500.0;2500.0;2500.0;2500.0;2500.0;2500.0;2500.0;2500.0;2531.2;2531.2;1281.2;1281.2;1312.5;1312.5;1312.5;1343.8;1437.5;1343.8	1343.8	1375.0	B	1	downsweep	descending shriek
28	Spectrogram 1	1	39.913281350	41.180553121	1138.6	9434.0	1437.5	4.252	1.267	1281.2	1562.5;1562.5;1531.2;1531.2;1531.2;1531.2;1500.0;1500.0;1500.0;1500.0;1500.0;1468.8;1437.5;1468.8;1468.8;1437.5;1437.5;1437.5;1437.5;1437.5;1406.2;1406.2;1375.0;2750.0;2750.0;2750.0;2750.0;2750.0;2750.0;2718.8;2718.8;2718.8;2718.8;2718.8;2718.8;2718.8;2718.8;2687.5;2687.5;2687.5;2656.2;1312.5;1312.5;1281.2;2593.8;2562.5;1281.2;1281.2;1250.0;2531.2;2500.0;1250.0;1250.0;1250.0;1250.0;1250.0;1250.0;1250.0;1250.0;1250.0;1343.8;2687.5;1312.5;1312.5;1312.5;1281.2;1281.2;2562.5;1281.2;2531.2;2531.2;2531.2;2500.0;1437.5;1437.5;1468.8;1250.0;1250.0;1406.2	1468.8	1437.5	B	1	downsweep	descending shriek
29	Spectrogram 1	1	43.431467066	45.349854335	419.5	6486.9	656.2	3.008	1.918	62.5	531.2;531.2;531.2;531.2;437.5;531.2;531.2;531.2;531.2;531.2;531.2;531.2;531.2;531.2;531.2;531.2;531.2;531.2;531.2;531.2;562.5;562.5;562.5;593.8;593.8;625.0;625.0;625.0;625.0;656.2;656.2;625.0;625.0;625.0;625.0;625.0;656.2;656.2;656.2;656.2;656.2;656.2;656.2;687.5;687.5;687.5;718.8;718.8;718.8;718.8;718.8;781.2;750.0;625.0;625.0;625.0;625.0;750.0;750.0;750.0;656.2;656.2;656.2;656.2;656.2;687.5;687.5;1031.2;687.5;718.8;1031.2;718.8;718.8;718.8;1031.2;1031.2;750.0;750.0;750.0;750.0;750.0;750.0;750.0;750.0;781.2;781.2;781.2;593.8;593.8;625.0;625.0;625.0;625.0;625.0;625.0;625.0;656.2;625.0;656.2;687.5;656.2;656.2;687.5;656.2;656.2;687.5;687.5;656.2;687.5;656.2;687.5;718.8;718.8;718.8;718.8;656.2;718.8;750.0;750.0;750.0	656.2	656.2	C	1	upsweep	ascending moan
